Watchlist 'DJIM'

DJIM
Symbol,%Change,Last,PE
PCH,0.00%,42.65,<empty>
QUNR,0.00%,29.98,-.5246
SIMO,0.00%,46.45,16.83
SFUN,0.00%,2.86,-6.908
JOE,0.00%,19.35,130.3
TMST,0.00%,13.60,-9.252
UNT,0.00%,21.04,-2.327
SLCA,0.00%,45.00,-53.57
WNS,0.00%,25.89,24.42
GOOG,0.00%,760.54,27.83
LVNTA,0.00%,39.76,8.148
LITE,0.00%,42.20,703.3
GIII,0.00%,27.19,13.14
WWW,0.00%,23.88,23.18
CTB,0.00%,38.45,9.005
CRTO,0.00%,39.75,32.06
CE,0.00%,78.11,24.96
BLUE,0.00%,62.00,-9.568
BVN,0.00%,10.92,-13.16
GCI,0.00%,9.52,28.85
GPRO,0.00%,10.02,-4.107
FEYE,0.00%,13.63,-3.939
INFN,0.00%,8.21,48.29
MMYT,0.00%,25.95,-8.797
FLTX,0.00%,60.00,77.92
DAL,0.00%,48.90,7.913
MRC,0.00%,18.93,-3.977
RDUS,0.00%,52.77,-13.85
NGVT,0.00%,50.50,51.24
HMHC,0.00%,11.25,-7.166
SPXC,0.00%,23.20,-110.5
CLVS,0.00%,35.73,-3.432
RENN,0.00%,1.79,-2.983
MTW,0.00%,5.37,-2.397
NVAX,0.00%,1.29,-1.152
ACAD,0.00%,29.53,-13.8
RARE,0.00%,82.72,-14
VSTO,0.00%,40.02,13.38
CHK,0.00%,5.94,-.6727
MOMO,0.00%,21.30,66.56
VNET,0.00%,7.51,-1.49
PTLA,0.00%,19.32,-3.826
TGT,0.00%,76.19,14.24
XON,0.00%,31.19,-20.79
MYL,0.00%,36.47,72.94
APLE,0.00%,17.79,37.06
KHC,0.00%,82.53,31.99
REG,0.00%,65.99,62.25
JUNO,0.00%,29.93,-10.58
JMEI,0.00%,4.99,6.085
AGIO,0.00%,62.54,-13
KITE,0.00%,51.80,-11.31
HALO,0.00%,12.83,-23.33
XRS,0.00%,74.02,71.17
OLED,0.00%,58.10,68.35
CRUS,0.00%,57.79,25.46
OPK,0.00%,10.48,-909.4
MRVL,0.00%,14.80,-246.7
CHMT,0.00%,33.35,87.76
LXFT,0.00%,54.50,29.46
AKRX,0.00%,21.89,14.89
LGND,0.00%,105.75,330.5
VLO,0.00%,63.39,13.18
CUBE,0.00%,24.27,45.79
COR,0.00%,68.67,47.69
LSI,0.00%,80.07,33.22
AVB,0.00%,162.32,23.59
MDCO,0.00%,36.63,-12.17
NBIX,0.00%,51.01,-35.18
HELE,0.00%,87.25,23.84
AMGN,0.00%,145.23,14.54
TSRO,0.00%,132.50,-18.05
EFII,0.00%,43.22,58.41
FTV,0.00%,54.63,21.37
ATVI,0.00%,38.39,33.38
HPQ,0.00%,15.87,8.441
CREE,0.00%,24.95,831.7
ICLR,0.00%,76.21,17.13
PFPT,0.00%,86.60,-28.87
GRUB,0.00%,36.65,66.64
C,0.00%,55.46,12.06
NUVA,0.00%,64.41,81.53
ABMD,0.00%,113.41,116.9
ALGT,0.00%,165.20,11.7
ELLI,0.00%,82.26,83.09
TEAM,0.00%,28.76,-1749
IONS,0.00%,45.12,-29.49
BBY,0.00%,44.79,14.69
BGNE,0.00%,32.00,-9.689
PE,0.00%,34.75,-86.88
UA/C,0.00%,23.75,45.24
